product,brand,price,product_link,image_link
Sportliche Sneakers von ,Marsèll,798 €,/de/shopping/men/marsell-stiefel-mit-geriffelter-sohle-item-15547844.aspx,https://cdn-static.farfetch-contents.com/static/images/loader.svg
", die mit kontrastierenden Farbtönen nicht nur im Gym die richtige Wahl sind. Elegante Budapester aus dem Hause ",Valentino Garavani,280 €,/de/shopping/men/valentino-garavani-valentino-garavani-vltn-pantoletten-item-15694102.aspx,https://cdn-static.farfetch-contents.com/static/images/loader.svg
", die mit aufregenden Details jedes Outfit abrunden oder luftige Pantoletten von ",Dsquared2,145 €,/de/shopping/men/dsquared2-pantoletten-mit-logo-print-item-15423988.aspx,
" für warme Tage. Welchen Style Sie auch bevorzugen, von diesen Designer-Schuhen kann kein Mann genug im Schrank haben.",Gucci,290 €,/de/shopping/men/gucci-pantoletten-mit-webstreifen-item-15391501.aspx,
Stiefel mit geriffelter Sohle,Balenciaga,450 €,/de/shopping/men/balenciaga-pantoletten-mit-einsatzen-item-15314020.aspx,
Valentino Garavani VLTN Pantoletten,Alexander McQueen,425 €,/de/shopping/men/alexander-mcqueen-klobige-sneakers-item-13525833.aspx,
Pantoletten mit Logo-Print,Alexander McQueen,425 €,/de/shopping/men/alexander-mcqueen-oversized-sneakers-item-13951618.aspx,
Pantoletten mit Webstreifen,Off-White,390 €,/de/shopping/men/off-white-out-of-office-sneakers-item-15486220.aspx,
Pantoletten mit Einsätzen,Alexander McQueen,425 €,/de/shopping/men/alexander-mcqueen-oversized-sneakers-item-15561030.aspx,
Klobige Sneakers,Alexander McQueen,425 €,/de/shopping/men/alexander-mcqueen-klobige-sneakers-item-13164354.aspx,
'Oversized' Sneakers,Alexander McQueen,425 €,/de/shopping/men/alexander-mcqueen-klobige-sneakers-item-13525830.aspx,
'Out of Office' Sneakers,Alexander McQueen,425 €,/de/shopping/men/alexander-mcqueen-sneakers-mit-breiter-sohle-item-15560374.aspx,
'Oversized' Sneakers,Alexander McQueen,425 €,/de/shopping/men/alexander-mcqueen-oversized-sneakers-item-15559701.aspx,
Klobige Sneakers,Alexander McQueen,425 €,/de/shopping/men/alexander-mcqueen-sneakers-mit-oversized-sohle-item-15294135.aspx,
Klobige Sneakers,Maison Margiela,370 €,/de/shopping/men/maison-margiela-replica-sneakers-item-14361244.aspx,
Sneakers mit breiter Sohle,Alexander McQueen,490 €,/de/shopping/men/alexander-mcqueen-oversized-sneakers-item-15294133.aspx,
Sportliche Sneakers von ,Balmain,550 €,/de/shopping/men/balmain-b-runner-sneakers-item-15492072.aspx,https://cdn-static.farfetch-contents.com/static/images/loader.svg
'Oversized' Sneakers,Prada,790 €,/de/shopping/men/prada-bikerstiefel-mit-kontrasteinsatz-item-14646747.aspx,
Sneakers mit Oversized-Sohle,Gucci,540 €,/de/shopping/men/gucci-ace-sneakers-item-15400433.aspx,
'Replica' Sneakers,Li-Ning,219 €,/de/shopping/men/li-ning-2020-ace-sneakers-item-15397956.aspx,
'Oversized' Sneakers,Dsquared2,340 €,/de/shopping/men/dsquared2-551-sneakers-mit-einsatz-item-15420897.aspx,
Bikerstiefel mit Kontrasteinsatz,Burberry,370 €,/de/shopping/men/burberry-sneakers-mit-house-check-item-14697580.aspx,
'Ace' Sneakers,Axel Arigato,189 €,/de/shopping/men/axel-arigato-clean-wildleder-sneakers-90mm-item-15259247.aspx,
2020 Ace sneakers,Givenchy,425 €,/de/shopping/men/givenchy-urban-street-sneakers-item-15569768.aspx,https://cdn-static.farfetch-contents.com/static/images/blank.gif
'551' Sneakers mit Einsatz ,Dsquared2,350 €,/de/shopping/men/dsquared2-tennis-sneakers-item-15424055.aspx,https://cdn-static.farfetch-contents.com/static/images/blank.gif
", die mit kontrastierenden Farbtönen nicht nur im Gym die richtige Wahl sind. Elegante Budapester aus dem Hause ",Off-White,390 €,/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280756.aspx,https://cdn-static.farfetch-contents.com/static/images/loader.svg
", die mit aufregenden Details jedes Outfit abrunden oder luftige Pantoletten von ",adidas YEEZY,336 €,/de/shopping/men/adidas-yeezy-boost-380-sneakers-item-15646643.aspx,
" für warme Tage. Welchen Style Sie auch bevorzugen, von diesen Designer-Schuhen kann kein Mann genug im Schrank haben.",Balenciaga,750 €,/de/shopping/men/balenciaga-track2-open-sneakers-item-15367962.aspx,
'B-Runner' Sneakers,Dsquared2,900 €,/de/shopping/men/dsquared2-cowboystiefel-mit-blockabsatz-item-15405935.aspx,
'OOO Out of Office' Sneakers,R.M.Williams,450 €,/de/shopping/men/rmwilliams-comfort-craftsman-chelsea-boots-item-14947371.aspx,
'BOOST 380' Sneakers,AMIRI,1.180 €,/de/shopping/men/amiri-buckle-ankle-boots-item-15822774.aspx,
'Track.2 Open' Sneakers,Alexander McQueen,690 €,/de/shopping/men/alexander-mcqueen-tread-chelsea-boots-item-15779855.aspx,
Cowboystiefel mit Blockabsatz,Valentino Garavani,540 €,/de/shopping/men/valentino-garavani-valentino-garavani-rockstud-sneakers-item-15496670.aspx,
Sneakers mit House-Check,Golden Goose,375 €,/de/shopping/men/golden-goose-superstar-sneakers-item-15471559.aspx,https://cdn-static.farfetch-contents.com/static/images/blank.gif
"'Clean' Wildleder-Sneakers, 90mm",Dsquared2,335 €,/de/shopping/men/dsquared2-new-runner-hiking-sneakers-item-15464653.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
'Urban Street' Sneakers,Veja,115 €,/de/shopping/men/veja-rio-branco-hexamesh-sneakers-item-15460949.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
'Tennis' Sneakers,Givenchy,425 €,/de/shopping/men/givenchy-urban-street-sneakers-item-15483791.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
'Superstar' Sneakers,Off-White,465 €,/de/shopping/men/off-white-nike-x-off-white-sneakers-item-15400582.aspx,https://cdn-static.farfetch-contents.com/static/images/icons/loading-spinner.svg
'Comfort Craftsman' Chelsea-Boots,Philipp Plein,1.875 €,/de/shopping/men/philipp-plein-phantom-sneakers-item-15389069.aspx,
buckle ankle boots,Off-White,390 €,/de/shopping/men/off-white-ooo-out-of-office-sneakers-item-15280755.aspx,
'Tread' Chelsea-Boots,Maison Margiela,790 €,/de/shopping/men/maison-margiela-basketball-high-top-sneakers-item-15487934.aspx,
Valentino Garavani 'Rockstud' Sneakers,Bottega Veneta,650 €,/de/shopping/men/bottega-veneta-bv-level-loafer-item-15800271.aspx,
